year,month,bx_gsm,by_gsm,bz_gsm,bt,intensity,declination,inclination,north,east,vertical,horizontal
2016,7,-7.63,-2.79,-9.66,7.56,52628,-102.362,-73.888,-317,-412,56975,107
2021,2,2.39,-7.79,-9.55,8.0,60579,-19.009,-66.043,293,-113,52565,346
2018,10,-5.28,5.06,-2.81,0.3,62601,-152.704,-13.775,-200,-414,53739,101
2019,11,-9.2,5.11,2.57,6.17,54356,-107.817,-5.073,232,376,52605,449
2017,9,-1.51,-7.63,7.5,5.23,63570,-9.292,48.852,474,441,60145,93
2018,1,-9.62,-2.73,3.78,2.9,56163,57.877,-7.521,-202,348,57221,148
2018,8,8.73,-3.22,-8.52,6.6,57533,-161.257,-52.597,-50,-77,57250,338
2013,1,7.43,2.65,-0.46,3.48,65968,11.846,-49.145,-195,26,68437,228
2020,2,-3.33,-9.89,6.66,8.63,57533,8.286,21.028,84,-261,62625,285
2022,11,6.11,8.24,1.62,0.18,63673,-23.888,-41.626,-14,-150,65571,409
2018,4,9.5,8.19,-2.79,4.33,65525,135.416,27.457,-163,-423,69455,401
2019,5,3.04,-9.44,2.99,8.84,61152,153.933,14.766,-366,500,50964,326
2017,2,6.59,-4.19,8.08,3.44,64242,95.516,71.773,28,-329,61803,434
2012,9,0.66,-3.94,-1.51,5.79,63631,90.555,-16.305,-429,269,63825,65
2016,11,-0.65,9.8,-4.07,2.43,69965,63.043,-40.448,-177,356,62136,458
2017,12,-5.85,7.24,-4.42,8.52,63802,114.301,-8.986,-233,41,64635,260
2016,9,-6.86,8.95,-8.07,2.71,55207,90.169,-36.827,-8,219,55924,128
2020,10,-5.48,3.44,6.55,0.32,62713,-126.614,-71.171,388,273,53128,61
2012,6,6.17,-7.6,4.31,3.23,67484,-30.127,72.697,-275,-386,67643,6
2020,10,5.55,0.61,-1.37,3.14,56353,-35.277,-28.829,335,-272,60723,98
2022,6,7.47,5.22,7.24,7.76,52809,11.731,36.748,298,-84,65128,436
2015,4,-0.8,-2.45,6.93,0.28,61550,117.502,-51.036,211,-47,68649,373
2017,2,-7.74,-7.86,-8.83,2.83,55292,177.442,-87.868,-360,427,64979,117
2020,10,-0.59,3.18,-1.82,6.51,60084,67.438,77.536,-417,227,64156,149
2018,5,-5.47,-5.58,-1.1,4.58,62323,133.08,27.1,284,-338,59062,409
2020,4,1.75,-8.91,-2.13,5.4,65911,1.54,-86.827,295,-261,55946,125
2022,4,2.63,7.17,8.88,9.46,58220,136.97,82.78,-266,-415,52896,348
2019,5,-3.05,9.32,8.31,1.76,50155,-155.208,42.174,-356,321,59509,137
2020,10,4.27,8.87,-9.5,1.46,63360,90.01,-81.684,379,393,52580,106
2013,4,4.89,-0.89,-5.41,7.6,64260,-138.099,29.942,-170,322,66994,236
2023,4,8.26,-4.86,2.74,4.66,59423,26.2,61.825,399,473,61080,231
2021,9,-1.65,9.19,-5.43,7.5,52252,16.549,28.932,-420,360,69744,447
2012,5,-5.77,2.12,-7.84,9.99,62354,-129.102,-55.673,189,473,57312,328
2018,5,-6.78,9.05,1.33,7.34,66936,-139.512,84.592,191,307,69047,466
2017,2,-1.84,-1.51,5.21,3.76,57479,151.979,74.033,415,-383,60698,195
2015,11,4.08,-5.55,-1.26,4.98,63959,-129.968,-51.237,-93,345,52260,255
2021,9,7.21,8.22,-7.11,6.59,60175,-103.314,1.665,160,-343,59453,277
2016,11,4.31,-1.77,5.55,9.28,63015,-106.393,-69.467,348,-89,55934,217
2021,8,2.1,-3.16,3.5,9.78,67781,29.227,-88.47,148,-114,62939,169
2018,5,-1.0,-1.13,-4.27,7.63,67040,23.234,10.22,-369,98,65082,313
2020,3,-9.0,-3.8,2.23,4.77,53967,-3.05,29.404,30,437,66803,70
2019,9,7.93,1.88,8.56,8.51,53857,-46.498,-47.172,-166,-500,57555,243
2019,1,8.8,-9.77,7.29,7.75,67016,175.759,41.163,-491,-294,60525,398
2018,8,-2.87,-8.08,3.47,1.31,65861,158.476,-40.021,378,257,66846,180
2020,4,-4.83,4.92,-2.14,4.52,67091,-105.187,31.435,-490,319,56004,212
2013,11,-7.3,-6.9,2.69,4.74,69346,119.158,21.043,-293,-12,67021,296
2019,12,-3.73,-3.72,-6.82,9.24,57856,16.267,54.261,-352,47,68048,122
2021,6,-9.09,-5.1,0.63,2.35,50003,120.946,14.763,-239,217,69311,57
2021,11,-3.85,-8.35,3.64,2.44,57309,-86.356,80.537,-67,91,53869,61
